id,Year,Month number,Offence category,Offence type,Reporting region ,Statistical Area 2,Number of offences
29,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,28
30,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,1
31,2008,1,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,9
32,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,40
33,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,1
34,2008,1,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,26
35,2008,1,Property Damage Offences,Property damage offences,Darwin,-,340
36,2008,1,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,2
37,2008,1,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,9
38,2008,1,Property Damage Offences,Property damage offences,Palmerston,-,118
39,2008,1,Robbery - extortion and related offences,Robbery,Darwin,-,2
40,2008,1,Robbery - extortion and related offences,Robbery,Palmerston,-,1
41,2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,Darwin,-,1
42,2008,1,Sexual Assault and related offences,Non-assaultive sexual offences,Palmerston,-,1
43,2008,1,Sexual Assault and related offences,Sexual assault,Darwin,-,13
44,2008,1,Sexual Assault and related offences,Sexual assault,Palmerston,-,7
45,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,295
46,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,6
47,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,5
48,2008,1,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,93
49,2008,2,Abduction - harassment and other offences against the person,Harassment and private nuisance,Palmerston,-,1
50,2008,2,Acts intended to cause injury,Assault,Darwin,-,15
51,2008,2,Acts intended to cause injury,Assault,Palmerston,-,8
52,2008,2,Acts intended to cause injury,Assault,Darwin,-,52
53,2008,2,Acts intended to cause injury,Assault,Palmerston,-,4
54,2008,2,Acts intended to cause injury,Assault,Darwin,-,7
55,2008,2,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
56,2008,2,Acts intended to cause injury,Assault,Palmerston,-,1
57,2008,2,Acts intended to cause injury,Assault,Darwin,-,38
58,2008,2,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
59,2008,2,Acts intended to cause injury,Assault,Palmerston,-,8
60,2008,2,Acts intended to cause injury,Assault,Darwin,-,3
61,2008,2,Acts intended to cause injury,Assault,Darwin,-,5
62,2008,2,Acts intended to cause injury,Assault,Palmerston,-,4
63,2008,2,Commercial break-ins,Commercial break-ins actual,Darwin,-,76
64,2008,2,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,3
65,2008,2,Commercial break-ins,Commercial break-ins actual,Palmerston,-,24
66,2008,2,Commercial break-ins,Commercial break-ins attempted,Darwin,-,18
67,2008,2,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,2
68,2008,2,House break-ins,House break-ins actual,Darwin,-,100
69,2008,2,House break-ins,House break-ins actual,NT Balance,Howard Springs,1
70,2008,2,House break-ins,House break-ins actual,Palmerston,-,36
71,2008,2,House break-ins,House break-ins attempted,Darwin,-,30
72,2008,2,House break-ins,House break-ins attempted,Palmerston,-,2
73,2008,2,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,38
74,2008,2,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Howard Springs,2
75,2008,2,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,1
76,2008,2,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,14
77,2008,2,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,56
78,2008,2,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,1
79,2008,2,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,26
80,2008,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,2
81,2008,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,NT Balance,Howard Springs,1
82,2008,2,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Palmerston,-,1
83,2008,2,Property Damage Offences,Property damage offences,Darwin,-,333
84,2008,2,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,2
85,2008,2,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,4
86,2008,2,Property Damage Offences,Property damage offences,Palmerston,-,106
87,2008,2,Robbery - extortion and related offences,Robbery,Darwin,-,3
88,2008,2,Robbery - extortion and related offences,Robbery,Palmerston,-,1
89,2008,2,Sexual Assault and related offences,Sexual assault,Darwin,-,8
90,2008,2,Sexual Assault and related offences,Sexual assault,NT Balance,Howard Springs,1
91,2008,2,Sexual Assault and related offences,Sexual assault,Palmerston,-,1
92,2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,321
93,2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,9
94,2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,4
95,2008,2,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,88
96,2008,3,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,1
97,2008,3,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,7
98,2008,3,Acts intended to cause injury,Assault,Darwin,-,12
99,2008,3,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
100,2008,3,Acts intended to cause injury,Assault,Palmerston,-,7
101,2008,3,Acts intended to cause injury,Assault,Darwin,-,47
102,2008,3,Acts intended to cause injury,Assault,Palmerston,-,2
103,2008,3,Acts intended to cause injury,Assault,Darwin,-,8
104,2008,3,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
105,2008,3,Acts intended to cause injury,Assault,Palmerston,-,2
106,2008,3,Acts intended to cause injury,Assault,Darwin,-,43
107,2008,3,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
108,2008,3,Acts intended to cause injury,Assault,Palmerston,-,9
109,2008,3,Acts intended to cause injury,Assault,Darwin,-,5
110,2008,3,Acts intended to cause injury,Assault,Darwin,-,17
111,2008,3,Acts intended to cause injury,Assault,NT Balance,Howard Springs,2
112,2008,3,Acts intended to cause injury,Assault,Palmerston,-,2
113,2008,3,Acts intended to cause injury,Other acts intended to cause injury,Darwin,-,2
114,2008,3,Commercial break-ins,Commercial break-ins actual,Darwin,-,69
115,2008,3,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,2
116,2008,3,Commercial break-ins,Commercial break-ins actual,Palmerston,-,23
117,2008,3,Commercial break-ins,Commercial break-ins attempted,Darwin,-,18
118,2008,3,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,2
119,2008,3,House break-ins,House break-ins actual,Darwin,-,87
120,2008,3,House break-ins,House break-ins actual,NT Balance,Howard Springs,2
121,2008,3,House break-ins,House break-ins actual,Palmerston,-,28
122,2008,3,House break-ins,House break-ins attempted,Darwin,-,11
123,2008,3,House break-ins,House break-ins attempted,Palmerston,-,1
124,2008,3,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,23
125,2008,3,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,1
126,2008,3,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,8
127,2008,3,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,95
128,2008,3,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,1
129,2008,3,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,18
130,2008,3,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,2
131,2008,3,Property Damage Offences,Property damage offences,Darwin,-,392
132,2008,3,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,5
133,2008,3,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,6
134,2008,3,Property Damage Offences,Property damage offences,Palmerston,-,102
135,2008,3,Robbery - extortion and related offences,Robbery,Darwin,-,8
136,2008,3,Sexual Assault and related offences,Sexual assault,Darwin,-,12
137,2008,3,Sexual Assault and related offences,Sexual assault,Palmerston,-,5
138,2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,331
139,2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,9
140,2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,3
141,2008,3,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,92
142,2008,4,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Palmerston,-,1
143,2008,4,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,6
144,2008,4,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,1
145,2008,4,Acts intended to cause injury,Assault,Darwin,-,23
146,2008,4,Acts intended to cause injury,Assault,Palmerston,-,12
147,2008,4,Acts intended to cause injury,Assault,Darwin,-,39
148,2008,4,Acts intended to cause injury,Assault,Palmerston,-,9
149,2008,4,Acts intended to cause injury,Assault,Darwin,-,44
150,2008,4,Acts intended to cause injury,Assault,Palmerston,-,8
151,2008,4,Acts intended to cause injury,Assault,Darwin,-,7
152,2008,4,Acts intended to cause injury,Assault,Palmerston,-,1
153,2008,4,Acts intended to cause injury,Assault,Darwin,-,13
154,2008,4,Acts intended to cause injury,Assault,Palmerston,-,1
155,2008,4,Acts intended to cause injury,Other acts intended to cause injury,Darwin,-,4
156,2008,4,Acts intended to cause injury,Other acts intended to cause injury,NT Balance,Humpty Doo,1
157,2008,4,Commercial break-ins,Commercial break-ins actual,Darwin,-,73
158,2008,4,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,3
159,2008,4,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,2
160,2008,4,Commercial break-ins,Commercial break-ins actual,Palmerston,-,31
161,2008,4,Commercial break-ins,Commercial break-ins attempted,Darwin,-,13
162,2008,4,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,8
163,2008,4,Homicide and related Offences,Manslaughter,Darwin,-,1
164,2008,4,House break-ins,House break-ins actual,Darwin,-,88
165,2008,4,House break-ins,House break-ins actual,NT Balance,Humpty Doo,2
166,2008,4,House break-ins,House break-ins actual,Palmerston,-,43
167,2008,4,House break-ins,House break-ins attempted,Darwin,-,18
168,2008,4,House break-ins,House break-ins attempted,Palmerston,-,3
169,2008,4,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,27
170,2008,4,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Howard Springs,3
171,2008,4,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,9
172,2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,61
173,2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,2
174,2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,2
175,2008,4,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,9
176,2008,4,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,2
177,2008,4,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,NT Balance,Howard Springs,1
178,2008,4,Property Damage Offences,Property damage offences,Darwin,-,307
179,2008,4,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,13
180,2008,4,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,4
181,2008,4,Property Damage Offences,Property damage offences,Palmerston,-,92
182,2008,4,Robbery - extortion and related offences,Robbery,Darwin,-,2
183,2008,4,Robbery - extortion and related offences,Robbery,Palmerston,-,5
184,2008,4,Sexual Assault and related offences,Non-assaultive sexual offences,Darwin,-,2
185,2008,4,Sexual Assault and related offences,Sexual assault,Darwin,-,13
186,2008,4,Sexual Assault and related offences,Sexual assault,NT Balance,Howard Springs,2
187,2008,4,Sexual Assault and related offences,Sexual assault,Palmerston,-,4
188,2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,360
189,2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,9
190,2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,9
191,2008,4,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,104
192,2008,5,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,2
193,2008,5,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,8
194,2008,5,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,2
195,2008,5,Acts intended to cause injury,Assault,Darwin,-,20
196,2008,5,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
197,2008,5,Acts intended to cause injury,Assault,Palmerston,-,8
198,2008,5,Acts intended to cause injury,Assault,Darwin,-,47
199,2008,5,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
200,2008,5,Acts intended to cause injury,Assault,Palmerston,-,3
201,2008,5,Acts intended to cause injury,Assault,Darwin,-,3
202,2008,5,Acts intended to cause injury,Assault,Palmerston,-,1
203,2008,5,Acts intended to cause injury,Assault,Darwin,-,32
204,2008,5,Acts intended to cause injury,Assault,Palmerston,-,6
205,2008,5,Acts intended to cause injury,Assault,Darwin,-,7
206,2008,5,Acts intended to cause injury,Assault,Palmerston,-,3
207,2008,5,Acts intended to cause injury,Assault,Darwin,-,13
208,2008,5,Acts intended to cause injury,Assault,Palmerston,-,2
209,2008,5,Acts intended to cause injury,Other acts intended to cause injury,Darwin,-,2
210,2008,5,Commercial break-ins,Commercial break-ins actual,Darwin,-,55
211,2008,5,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,1
212,2008,5,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,1
213,2008,5,Commercial break-ins,Commercial break-ins actual,Palmerston,-,32
214,2008,5,Commercial break-ins,Commercial break-ins attempted,Darwin,-,6
215,2008,5,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,5
216,2008,5,Homicide and related Offences,Manslaughter,Darwin,-,1
217,2008,5,Homicide and related Offences,Manslaughter,Palmerston,-,1
218,2008,5,Homicide and related Offences,Murder,Darwin,-,1
219,2008,5,House break-ins,House break-ins actual,Darwin,-,32
220,2008,5,House break-ins,House break-ins actual,NT Balance,Howard Springs,1
221,2008,5,House break-ins,House break-ins actual,NT Balance,Humpty Doo,1
222,2008,5,House break-ins,House break-ins actual,Palmerston,-,28
223,2008,5,House break-ins,House break-ins attempted,Darwin,-,2
224,2008,5,House break-ins,House break-ins attempted,Palmerston,-,2
225,2008,5,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,43
226,2008,5,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,11
227,2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,61
228,2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,1
229,2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,1
230,2008,5,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,10
231,2008,5,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,3
232,2008,5,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Palmerston,-,2
233,2008,5,Property Damage Offences,Property damage offences,Darwin,-,316
234,2008,5,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,7
235,2008,5,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,6
236,2008,5,Property Damage Offences,Property damage offences,Palmerston,-,90
237,2008,5,Robbery - extortion and related offences,Robbery,Darwin,-,4
238,2008,5,Robbery - extortion and related offences,Robbery,NT Balance,Howard Springs,1
239,2008,5,Sexual Assault and related offences,Non-assaultive sexual offences,Darwin,-,1
240,2008,5,Sexual Assault and related offences,Sexual assault,Darwin,-,13
241,2008,5,Sexual Assault and related offences,Sexual assault,Palmerston,-,3
242,2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,284
243,2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,6
244,2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,8
245,2008,5,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,103
246,2008,6,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Darwin,-,1
247,2008,6,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,7
248,2008,6,Acts intended to cause injury,Assault,Darwin,-,19
249,2008,6,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
250,2008,6,Acts intended to cause injury,Assault,Palmerston,-,3
251,2008,6,Acts intended to cause injury,Assault,Darwin,-,45
252,2008,6,Acts intended to cause injury,Assault,NT Balance,Howard Springs,1
253,2008,6,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,2
254,2008,6,Acts intended to cause injury,Assault,Palmerston,-,1
255,2008,6,Acts intended to cause injury,Assault,Darwin,-,4
256,2008,6,Acts intended to cause injury,Assault,Darwin,-,23
257,2008,6,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
258,2008,6,Acts intended to cause injury,Assault,Palmerston,-,7
259,2008,6,Acts intended to cause injury,Assault,Darwin,-,2
260,2008,6,Acts intended to cause injury,Assault,Palmerston,-,3
261,2008,6,Acts intended to cause injury,Assault,Darwin,-,11
262,2008,6,Acts intended to cause injury,Assault,Palmerston,-,1
263,2008,6,Commercial break-ins,Commercial break-ins actual,Darwin,-,69
264,2008,6,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,1
265,2008,6,Commercial break-ins,Commercial break-ins actual,NT Balance,Humpty Doo,2
266,2008,6,Commercial break-ins,Commercial break-ins actual,Palmerston,-,23
267,2008,6,Commercial break-ins,Commercial break-ins attempted,Darwin,-,8
268,2008,6,Commercial break-ins,Commercial break-ins attempted,NT Balance,Humpty Doo,1
269,2008,6,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,6
270,2008,6,Homicide and related Offences,Attempted Murder,Darwin,-,1
271,2008,6,Homicide and related Offences,Attempted Murder,NT Balance,Howard Springs,1
272,2008,6,House break-ins,House break-ins actual,Darwin,-,42
273,2008,6,House break-ins,House break-ins actual,NT Balance,Humpty Doo,1
274,2008,6,House break-ins,House break-ins actual,Palmerston,-,24
275,2008,6,House break-ins,House break-ins attempted,Darwin,-,4
276,2008,6,House break-ins,House break-ins attempted,Palmerston,-,1
277,2008,6,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,45
278,2008,6,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,1
279,2008,6,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,16
280,2008,6,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,81
281,2008,6,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,1
282,2008,6,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,18
283,2008,6,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,1
284,2008,6,Property Damage Offences,Property damage offences,Darwin,-,363
285,2008,6,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,4
286,2008,6,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,3
287,2008,6,Property Damage Offences,Property damage offences,Palmerston,-,112
288,2008,6,Robbery - extortion and related offences,Robbery,Darwin,-,4
289,2008,6,Sexual Assault and related offences,Non-assaultive sexual offences,NT Balance,Howard Springs,1
290,2008,6,Sexual Assault and related offences,Sexual assault,Darwin,-,7
291,2008,6,Sexual Assault and related offences,Sexual assault,NT Balance,Humpty Doo,2
292,2008,6,Sexual Assault and related offences,Sexual assault,Palmerston,-,3
293,2008,6,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,311
294,2008,6,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,4
295,2008,6,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,7
296,2008,6,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,93
297,2008,7,Abduction - harassment and other offences against the person,Harassment and private nuisance,Darwin,-,1
298,2008,7,Abduction - harassment and other offences against the person,Harassment and private nuisance,Palmerston,-,1
299,2008,7,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,5
300,2008,7,Acts intended to cause injury,Assault,Darwin,-,21
301,2008,7,Acts intended to cause injury,Assault,Palmerston,-,9
302,2008,7,Acts intended to cause injury,Assault,Darwin,-,47
303,2008,7,Acts intended to cause injury,Assault,Palmerston,-,7
304,2008,7,Acts intended to cause injury,Assault,Darwin,-,5
305,2008,7,Acts intended to cause injury,Assault,Palmerston,-,2
306,2008,7,Acts intended to cause injury,Assault,Darwin,-,41
307,2008,7,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
308,2008,7,Acts intended to cause injury,Assault,Palmerston,-,9
309,2008,7,Acts intended to cause injury,Assault,Darwin,-,3
310,2008,7,Acts intended to cause injury,Assault,Palmerston,-,2
311,2008,7,Acts intended to cause injury,Assault,Darwin,-,10
312,2008,7,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
313,2008,7,Acts intended to cause injury,Assault,Palmerston,-,2
314,2008,7,Acts intended to cause injury,Other acts intended to cause injury,Darwin,-,3
315,2008,7,Commercial break-ins,Commercial break-ins actual,Darwin,-,54
316,2008,7,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,2
317,2008,7,Commercial break-ins,Commercial break-ins actual,Palmerston,-,17
318,2008,7,Commercial break-ins,Commercial break-ins attempted,Darwin,-,12
319,2008,7,Commercial break-ins,Commercial break-ins attempted,Palmerston,-,5
320,2008,7,Homicide and related Offences,Murder,Darwin,-,1
321,2008,7,House break-ins,House break-ins actual,Darwin,-,27
322,2008,7,House break-ins,House break-ins actual,NT Balance,Humpty Doo,2
323,2008,7,House break-ins,House break-ins actual,Palmerston,-,16
324,2008,7,House break-ins,House break-ins attempted,Darwin,-,6
325,2008,7,House break-ins,House break-ins attempted,Palmerston,-,2
326,2008,7,Motor theft and related offences,Illegal use of a motor vehicle,Darwin,-,29
327,2008,7,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Howard Springs,1
328,2008,7,Motor theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,3
329,2008,7,Motor theft and related offences,Illegal use of a motor vehicle,Palmerston,-,13
330,2008,7,Motor theft and related offences,Theft of motor vehicle parts or contents,Darwin,-,55
331,2008,7,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,1
332,2008,7,Motor theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Humpty Doo,2
333,2008,7,Motor theft and related offences,Theft of motor vehicle parts or contents,Palmerston,-,16
334,2008,7,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Darwin,-,1
335,2008,7,Other Dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Palmerston,-,2
336,2008,7,Property Damage Offences,Property damage offences,Darwin,-,319
337,2008,7,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,3
338,2008,7,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,8
339,2008,7,Property Damage Offences,Property damage offences,Palmerston,-,105
340,2008,7,Robbery - extortion and related offences,Robbery,Darwin,-,6
341,2008,7,Robbery - extortion and related offences,Robbery,Palmerston,-,3
342,2008,7,Sexual Assault and related offences,Sexual assault,Darwin,-,5
343,2008,7,Sexual Assault and related offences,Sexual assault,NT Balance,Howard Springs,2
344,2008,7,Sexual Assault and related offences,Sexual assault,Palmerston,-,3
345,2008,7,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,-,257
346,2008,7,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,9
347,2008,7,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,5
348,2008,7,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,-,89
349,2008,8,Abduction - harassment and other offences against the person,Harassment and private nuisance,Palmerston,-,1
350,2008,8,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,-,7
351,2008,8,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,-,4
352,2008,8,Acts intended to cause injury,Assault,Darwin,-,16
353,2008,8,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,3
354,2008,8,Acts intended to cause injury,Assault,Palmerston,-,5
355,2008,8,Acts intended to cause injury,Assault,Darwin,-,45
356,2008,8,Acts intended to cause injury,Assault,Palmerston,-,8
357,2008,8,Acts intended to cause injury,Assault,Darwin,-,5
358,2008,8,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,2
359,2008,8,Acts intended to cause injury,Assault,Palmerston,-,7
360,2008,8,Acts intended to cause injury,Assault,Darwin,-,42
361,2008,8,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,3
362,2008,8,Acts intended to cause injury,Assault,Palmerston,-,8
363,2008,8,Acts intended to cause injury,Assault,Darwin,-,3
364,2008,8,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
365,2008,8,Acts intended to cause injury,Assault,Palmerston,-,3
366,2008,8,Acts intended to cause injury,Assault,Darwin,-,20
367,2008,8,Acts intended to cause injury,Assault,NT Balance,Humpty Doo,1
368,2008,8,Acts intended to cause injury,Assault,Palmerston,-,5
369,2008,8,Commercial break-ins,Commercial break-ins actual,Darwin,-,42
